Nr	Amino_FZ	Propofol	Ethanol	Series	Larval_stage	Length	Rep
14	without	with	without	15	L3_PF	15.3	3
16	without	with	without	15	L3_PF	11.9	3
17	without	with	without	15	L3_PF_Puppe	13.9	3
19	without	without	with	15	L3_PF	15.9	4
21	without	without	with	15	L3_PF	16.3	4
22	without	without	with	15	L3_PF	15.0	4
23	without	without	with	15	L3_PF	15.9	4
24	without	without	with	15	L3_PF	17.0	4
27	with	with	without	15	L3_PF	15.7	5
29	with	with	without	15	L3_PF	14.9	5
30	with	with	without	15	L3_PF	15.1	5
32	with	without	with	15	L3_PF	15.9	6
34	with	without	with	15	L3_PF	12.0	6
36	with	without	with	15	L3_PF	13.9	6
37	without	with	with	15	L3_PF	15.9	7
