Source	Target	@mention	retweet	Weight
bill_of_r	theralphretort		1	1
billbillt	ajdelgado13		1	1
billcasey1929	agentsergeevna		1	1
billcasey1929	jackposobiec		1	1
billcasey1929	rt_america		1	1
billdinyeg	davecournoyer		1	1
billhumphreyma	unitehere26		1	1
billnigh	cerasis		1	1
billnigh	dmowriter		1	1
billtho40762830	danscavino		1	1
billtho40762830	jasonmillerindc		1	1
billwaay31	time		1	1
billwaters7	wcsek	1		1
billylockner	newsmax		1	1
billythekidham	youtube	1		1
biloxichoctaw	latinaafortrump	1		1
biloxichoctaw	wpjenna		1	1
binda676	katjaglieson		1	1
binkywatts124	binkywatts124		1	1
bioinfobrett	derekwillis		1	1
bisnettmichael	bestproadvice		1	1
bitchesluhsimba	reuters		1	1
bitterflie	activist360		1	1
bitterflie	silveradie		1	1
