Month	CTL 	CW 	PLdx 	PWdx 	PLsx 	PWsx	Weight	Sex	Maturity
Aug_04	NA	NA	NA	NA	NA	NA	6.0	f	1
Aug_04	69.5	30.3	55.1	18.7	54.2	18.6	72.5	f	3
Aug_04	64.0	28.7	46.9	18.1	48.1	17.5	62.0	f	3
Aug_04	57.4	24.7	53.2	17.2	53.3	17.1	43.5	m	1
Aug_04	54.8	22.7	20.4	5.1	39.4	12.6	31.0	m	2
Aug_04	49.4	18.0	35.7	11.2	32.9	11.1	17.0	m	1
Aug_04	57.4	24.8	38.6	11.6	32.0	9.6	38.5	f	3
Aug_04	55.0	24.6	35.4	11.0	53.1	18.4	43.5	m	1
Aug_04	53.2	22.8	48.0	16.7	51.7	18.3	36.0	m	1
Aug_04	55.0	24.8	54.2	16.8	53.8	18.4	42.5	m	1
Aug_04	50.3	21.2	32.7	11.9	33.6	11.8	26.5	f	2
Aug_04	62.4	27.2	46.4	16.3	46.3	17.3	54.0	f	3
Aug_04	50.0	20.2	42.6	13.8	43.5	13.7	27.0	m	2
Aug_04	49.4	22.1	46.0	14.9	46.3	15.4	32.0	m	1
Aug_04	43.3	17.5	31.7	9.6	31.9	9.6	17.0	m	2
Aug_04	43.4	18.9	35.5	11.6	37.1	11.7	19.5	m	2
Aug_04	56.2	23.9	36.5	14.2	36.9	14.3	35.5	f	2
Aug_04	43.2	19.5	37.0	13.0	34.1	10.3	20.5	m	2
Aug_04	46.4	19.0	26.2	9.4	27.0	9.4	19.5	f	1
Aug_04	46.1	19.5	39.2	13.3	39.3	13.2	24.0	m	2
Aug_04	42.0	18.4	36.0	10.9	35.0	11.0	19.5	m	2
Aug_04	44.5	19.8	38.2	11.7	37.3	12.4	21.5	m	2
Aug_04	37.3	13.0	22.0	6.0	22.3	5.7	8.5	m	2
Aug_04	33.5	14.1	26.8	8.6	26.1	8.6	9.0	f	1
Aug_04	37.9	16.3	31.5	10.3	30.8	10.3	13.5	m	2
Aug_04	36.3	15.4	20.2	5.9	20.7	6.2	10.0	m	2
Aug_04	50.5	21.8	33.5	13.0	32.3	12.4	27.5	f	2
Aug_04	43.9	17.6	25.3	7.6	25.3	7.5	15.5	m	2
Aug_04	43.3	18.7	31.5	12.4	23.1	7.2	18.0	m	2
Aug_04	47.4	19.5	33.2	9.6	40.8	13.2	19.5	m	2
Aug_04	46.6	19.5	24.3	7.5	24.0	7.5	17.0	f	1
Aug_04	NA	NA	NA	NA	NA	NA	41.5	m	1
Aug_04	NA	NA	NA	NA	NA	NA	31.0	m	1
Aug_04	NA	NA	NA	NA	NA	NA	29.0	m	1
Aug_04	NA	NA	NA	NA	NA	NA	50.0	m	1
